launch_speed,launch_angle,events,bb_type
95.7,-24,double,ground_ball
85,50,field_out,fly_ball
109.4,14,single,line_drive
96.3,26,field_out,line_drive
96.4,36,field_out,fly_ball
100.2,10,double,line_drive
102.8,14,single,line_drive
63.8,-30,field_out,ground_ball
62,15,single,ground_ball
97.2,59,field_out,fly_ball
102.1,6,single,ground_ball
93.1,16,single,line_drive
104.9,26,home_run,line_drive
97.6,31,home_run,fly_ball
99.3,-14,single,ground_ball
96.7,37,field_out,fly_ball
109.1,12,single,line_drive
105.2,51,field_out,fly_ball
87.2,3,field_out,ground_ball
77.6,5,fielders_choice_out,ground_ball
73.3,9,field_out,ground_ball
69.1,31,field_out,fly_ball
82.9,-14,field_out,ground_ball
95.9,-9,field_out,ground_ball
90.6,51,field_out,fly_ball
94.9,50,field_out,fly_ball
76.2,-13,grounded_into_double_play,ground_ball
83.2,-23,field_out,ground_ball
97.4,28,home_run,line_drive
83,-24,force_out,ground_ball
84.4,-15,field_out,ground_ball
88.7,66,field_out,popup
100.1,17,single,line_drive
71.3,66,field_out,popup
80.5,51,field_out,fly_ball
92.6,19,field_out,line_drive
90.7,-39,field_out,ground_ball
77.5,-40,field_out,ground_ball
81.6,-37,grounded_into_double_play,ground_ball
98.8,-20,field_out,ground_ball
108.1,26,home_run,line_drive
94.3,-22,grounded_into_double_play,ground_ball
93,-14,double,ground_ball
93.3,3,single,ground_ball
95.8,13,single,line_drive
68,64,field_out,popup
18.4,-49,sac_bunt,ground_ball
89.4,47,field_out,fly_ball
54,-79,field_out,ground_ball
85.3,46,field_out,fly_ball
97.3,-16,single,ground_ball
82.6,26,field_out,line_drive
66.8,10,force_out,ground_ball
86.6,61,field_out,popup
93.5,-4,single,ground_ball
69.9,-23,field_out,ground_ball
91.1,10,single,line_drive
100.1,37,field_out,fly_ball
94.9,20,double,line_drive
55.3,-22,field_out,ground_ball
70.7,7,force_out,ground_ball
93.6,33,field_out,fly_ball
68.6,-28,field_out,ground_ball
66.7,59,field_out,popup
106.4,19,field_out,line_drive
101.5,27,double,line_drive
105.2,10,double,line_drive
78.8,35,field_out,fly_ball
75,-56,single,ground_ball
81.5,33,field_out,fly_ball
85.4,11,double,line_drive
104.3,48,field_out,fly_ball
83.8,29,field_out,line_drive
91.6,36,field_out,fly_ball
109.4,6,field_out,ground_ball
96.2,34,sac_fly,fly_ball
82.4,-4,field_out,ground_ball
73,25,single,line_drive
64.6,-17,fielders_choice_out,ground_ball
91.9,-4,field_out,ground_ball
75.3,16,single,line_drive
65.9,-53,field_out,ground_ball
